timestamp,tweet,team
2025-04-04 20:07:23,Horrible miss by Liverpool! 😡 #Liverpool,Liverpool
2025-04-04 20:25:30,Wasted chance by PSG's forward! 😫 #PSG,PSG
2025-04-04 20:07:32,Liverpool making tactical substitutions ↔ #Liverpool,Liverpool
2025-04-04 19:03:29,Brilliant save by Liverpool's goalkeeper! 🛡 #Liverpool,Liverpool
2025-04-04 19:55:40,Wasted chance by PSG's forward! 😫 #PSG,PSG
2025-04-04 19:39:00,What a goal from PSG! 🔥 #PSG,PSG
2025-04-04 20:04:29,Poor penalty from PSG! 🙅♂️ #PSG,PSG
2025-04-04 19:44:01,Controversial offside call against PSG ⚖ #PSG,PSG
2025-04-04 19:24:45,Poor penalty from Liverpool! 🙅♂️ #Liverpool,Liverpool
2025-04-04 20:13:11,Perfect through ball from Liverpool! 🎯 #Liverpool,Liverpool
2025-04-04 19:39:59,Controversial offside call against PSG ⚖ #PSG,PSG
2025-04-04 19:51:01,What a goal from Liverpool! 🔥 #Liverpool,Liverpool
2025-04-04 19:31:26,Good interception by PSG's defender 🛑 #PSG,PSG
2025-04-04 19:49:24,Controversial offside call against Liverpool ⚖ #Liverpool,Liverpool
2025-04-04 20:00:22,Brilliant save by Liverpool's goalkeeper! 🛡 #Liverpool,Liverpool
2025-04-04 19:55:39,Liverpool making tactical substitutions ↔ #Liverpool,Liverpool
2025-04-04 19:44:31,Horrible miss by Liverpool! 😡 #Liverpool,Liverpool
2025-04-04 20:00:13,Awful defensive error by PSG! 🤦♂️ #PSG,PSG
2025-04-04 19:53:20,Decent tackle by Liverpool ⚔ #Football,Liverpool
2025-04-04 19:45:02,Good interception by PSG's defender 🛑 #PSG,PSG
2025-04-04 19:36:27,Clear foul by PSG's midfielder! 🟥 #PSG,PSG
2025-04-04 19:28:58,Wasted chance by PSG's forward! 😫 #PSG,PSG
2025-04-04 20:14:57,What a goal from Liverpool! 🔥 #Liverpool,Liverpool
2025-04-04 19:13:11,Clear foul by PSG's midfielder! 🟥 #PSG,PSG
2025-04-04 20:01:44,Amazing tackle by Liverpool's defender! 💪 #Liverpool,Liverpool
2025-04-04 19:47:15,Brilliant save by PSG's goalkeeper! 🛡 #PSG,PSG
2025-04-04 19:30:07,What a goal from Liverpool! 🔥 #Liverpool,Liverpool
2025-04-04 20:27:34,Good interception by PSG's defender 🛑 #PSG,PSG
2025-04-04 19:03:22,Clinical finish by PSG's striker! ⚽ #PSG,PSG
2025-04-04 19:12:40,Poor penalty from Liverpool! 🙅♂️ #Liverpool,Liverpool
2025-04-04 19:28:33,Controversial offside call against PSG ⚖ #PSG,PSG
2025-04-04 20:03:20,Good interception by PSG's defender 🛑 #PSG,PSG
2025-04-04 19:12:31,Awful defensive error by PSG! 🤦♂️ #PSG,PSG
2025-04-04 20:30:41,Good interception by Liverpool's defender 🛑 #Liverpool,Liverpool
2025-04-04 20:11:51,Liverpool making tactical substitutions ↔ #Liverpool,Liverpool
2025-04-04 19:49:23,Liverpool making tactical substitutions ↔ #Liverpool,Liverpool
2025-04-04 19:59:47,Clinical finish by Liverpool's striker! ⚽ #Liverpool,Liverpool
2025-04-04 19:31:33,Amazing tackle by Liverpool's defender! 💪 #Liverpool,Liverpool
2025-04-04 20:12:23,Good interception by PSG's defender 🛑 #PSG,PSG
2025-04-04 19:05:11,Liverpool making tactical substitutions ↔ #Liverpool,Liverpool
2025-04-04 19:50:21,Awful defensive error by Liverpool! 🤦♂️ #Liverpool,Liverpool
2025-04-04 19:58:34,Perfect through ball from Liverpool! 🎯 #Liverpool,Liverpool
2025-04-04 20:18:02,What a goal from PSG! 🔥 #PSG,PSG
2025-04-04 19:06:29,Clinical finish by PSG's striker! ⚽ #PSG,PSG
2025-04-04 20:02:04,Horrible miss by Liverpool! 😡 #Liverpool,Liverpool
2025-04-04 19:54:52,Poor penalty from Liverpool! 🙅♂️ #Liverpool,Liverpool
2025-04-04 19:15:33,Awful defensive error by PSG! 🤦♂️ #PSG,PSG
2025-04-04 19:53:06,Perfect through ball from PSG! 🎯 #PSG,PSG
2025-04-04 19:27:02,What a goal from PSG! 🔥 #PSG,PSG
2025-04-04 20:29:46,Clear foul by PSG's midfielder! 🟥 #PSG,PSG
