timestamp,tweet,team
2025-04-04 20:13:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:29:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:03:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:01:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:18:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:33:00,Disappointing show from Barcelona 😡 #PoorPerformance,Barcelona
2025-04-04 19:15:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:17:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:05:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 20:08:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 20:15:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:33:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 19:23:00,Real Madrid domination! What a performance! 🔥 #Real Madrid,Real Madrid
2025-04-04 19:15:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 20:18:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:00:00,Real Madrid domination! What a performance! 🔥 #Real Madrid,Real Madrid
2025-04-04 19:11:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:01:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 20:04:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:05:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 20:15:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:50:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 19:39:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:12:00,Real Madrid domination! What a performance! 🔥 #Real Madrid,Real Madrid
2025-04-04 19:52:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:52:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 20:02:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 19:54:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:10:00,Disappointing show from Barcelona 😡 #PoorPerformance,Barcelona
2025-04-04 20:22:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 20:27:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:37:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:20:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 19:00:00,Disappointing show from Real Madrid 😡 #PoorPerformance,Real Madrid
2025-04-04 19:12:00,Disappointing show from Barcelona 😡 #PoorPerformance,Barcelona
2025-04-04 19:37:00,Real Madrid domination! What a performance! 🔥 #Real Madrid,Real Madrid
2025-04-04 19:14:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 20:25:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:00:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:10:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:26:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:04:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:33:00,Barcelona domination! What a performance! 🔥 #Barcelona,Barcelona
2025-04-04 19:37:00,Decent play from Barcelona ⚽ #LaLiga,Barcelona
2025-04-04 19:11:00,Real Madrid domination! What a performance! 🔥 #Real Madrid,Real Madrid
2025-04-04 19:51:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:48:00,Disappointing show from Barcelona 😡 #PoorPerformance,Barcelona
2025-04-04 19:26:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 19:32:00,Decent play from Real Madrid ⚽ #LaLiga,Real Madrid
2025-04-04 20:12:00,Disappointing show from Barcelona 😡 #PoorPerformance,Barcelona
